age,gender,height,weight,goal_weight,goal,activity,workout_days,sleep,water,target_calories,workout_intensity
49,male,167.7,87.1,84.2,fat loss,lightly active,1,7.1,3.25,1809,Moderate
60,female,169.3,60.6,66.0,muscle gain,moderately active,5,5.9,2.63,2006,Moderate
50,female,167.2,75.3,75.3,endurance,extremely active,1,7.3,2.89,2972,High
48,male,163.5,90.2,81.2,fat loss,moderately active,2,6.6,2.85,1989,Moderate
41,male,173.0,93.5,93.5,endurance,moderately active,5,7.8,2.17,2654,High
29,female,161.0,66.3,66.3,maintenance,extremely active,3,7.1,2.32,2664,High
31,male,178.2,65.9,65.9,maintenance,sedentary,5,9.1,1.86,1839,Low
56,female,160.8,82.7,82.7,endurance,sedentary,3,7.1,2.32,1618,Low
19,male,176.2,81.4,81.4,recomposition,extremely active,6,5.5,3.22,3079,High
20,male,192.1,81.3,81.3,recomposition,extremely active,3,6.7,3.09,3549,High
37,female,174.5,55.9,55.9,endurance,moderately active,1,7.0,2.89,2108,Moderate
57,female,177.1,87.7,87.7,maintenance,lightly active,5,5.9,3.17,1990,Moderate
51,female,169.1,58.7,58.7,endurance,sedentary,4,8.8,2.24,1591,Moderate
47,female,173.8,71.5,71.5,recomposition,sedentary,6,6.6,1.68,1522,Moderate
44,female,152.2,85.6,85.6,endurance,extremely active,1,6.2,2.39,2566,High
21,female,153.1,75.0,75.0,maintenance,very active,4,7.2,2.45,2290,High
33,female,160.7,58.2,58.2,recomposition,extremely active,5,5.9,2.97,2278,High
20,male,183.1,84.7,84.7,maintenance,moderately active,3,8.2,2.86,2801,Moderate
56,female,161.6,92.3,92.3,endurance,very active,2,7.9,3.21,2719,High
56,male,172.5,64.4,64.4,recomposition,extremely active,2,7.2,1.09,2786,High
29,female,171.1,60.8,53.4,fat loss,lightly active,1,7.7,1.94,1451,Moderate
31,male,174.6,101.6,101.6,maintenance,moderately active,4,6.4,2.44,3519,Moderate
33,male,180.5,52.5,49.9,fat loss,lightly active,5,5.2,2.84,1670,Low
64,female,170.6,75.5,75.5,recomposition,moderately active,3,6.6,3.97,1953,Moderate
42,female,164.6,48.9,48.9,recomposition,lightly active,1,6.4,1.82,1378,Low
57,female,157.1,65.3,65.3,endurance,lightly active,5,4.6,2.0,1681,Moderate
40,male,181.3,89.2,77.8,fat loss,lightly active,6,5.7,2.2,1983,Moderate
53,female,177.7,76.9,76.9,maintenance,extremely active,4,5.5,1.98,2888,High
44,female,160.5,60.6,67.1,muscle gain,lightly active,1,5.7,1.88,1824,Moderate
31,male,186.9,99.2,99.2,maintenance,very active,3,8.6,2.53,3557,High
63,male,189.0,63.2,63.2,endurance,moderately active,4,7.6,3.19,2453,High
54,male,183.3,64.0,64.0,maintenance,very active,6,8.2,2.58,2776,High
57,male,175.2,85.4,85.4,maintenance,sedentary,3,7.6,1.9,2129,Low
67,female,161.2,70.0,70.0,endurance,very active,1,8.3,2.36,2238,High
29,female,159.5,58.9,58.9,maintenance,very active,5,7.0,1.77,2309,High
20,male,186.7,86.0,86.0,maintenance,sedentary,5,8.8,3.19,2475,Moderate
47,female,170.7,59.8,59.8,maintenance,lightly active,2,5.5,3.53,1801,Low
33,female,157.4,47.7,47.7,endurance,extremely active,3,6.9,1.38,2302,High
39,male,175.4,71.3,71.3,maintenance,lightly active,1,5.8,2.66,2281,Low
28,female,163.7,57.6,57.6,recomposition,moderately active,1,8.5,1.96,2096,High
37,male,173.9,68.4,64.2,fat loss,extremely active,2,7.5,2.54,2434,High
37,female,165.2,75.0,72.1,fat loss,extremely active,1,8.4,2.44,2279,High
34,female,162.3,80.6,76.4,fat loss,lightly active,2,5.3,1.56,1572,Low
56,male,173.3,85.6,85.6,maintenance,very active,4,6.3,3.35,3129,High
48,male,175.4,55.1,55.1,recomposition,extremely active,3,4.9,2.39,2618,High
41,female,150.4,86.0,96.9,muscle gain,moderately active,1,7.4,2.17,2438,High
22,male,180.0,59.0,59.0,endurance,extremely active,4,6.5,2.58,3198,High
46,female,161.2,72.1,66.8,fat loss,very active,6,7.9,1.89,1822,High
25,female,151.9,60.8,60.8,recomposition,very active,4,7.0,2.37,2084,High
32,female,162.5,55.2,58.3,muscle gain,very active,2,4.4,1.21,2439,High
38,female,148.5,84.7,81.3,fat loss,sedentary,5,5.0,0.85,1351,Low
23,male,173.9,76.6,76.6,recomposition,sedentary,3,7.1,1.82,1798,Low
37,male,178.7,79.4,79.4,maintenance,extremely active,1,7.6,2.13,3639,High
30,male,177.2,103.0,103.0,recomposition,very active,4,4.3,1.27,3317,High
61,male,175.4,88.2,88.2,endurance,extremely active,5,6.9,2.15,3403,High
62,male,176.0,85.4,85.4,maintenance,moderately active,2,5.8,2.13,2549,Low
16,female,157.5,57.6,57.6,endurance,lightly active,3,5.7,2.46,2009,High
48,male,172.9,71.1,71.1,maintenance,extremely active,1,6.2,2.93,2966,High
50,female,163.4,88.4,92.8,muscle gain,extremely active,3,7.1,3.7,3120,High
36,female,156.7,53.6,59.3,muscle gain,extremely active,3,6.2,2.8,2462,High
41,female,164.9,58.2,60.2,muscle gain,extremely active,2,4.6,1.81,2852,High
58,female,164.8,105.7,105.7,endurance,sedentary,4,7.1,2.97,2086,Moderate
36,male,166.2,73.9,73.9,maintenance,extremely active,5,6.6,3.48,3039,High
19,female,179.9,58.5,58.5,endurance,sedentary,3,5.9,1.72,1783,Low
36,male,174.3,68.7,77.6,muscle gain,very active,5,6.6,1.75,3034,High
29,male,181.3,67.2,67.2,recomposition,sedentary,3,6.6,1.51,2021,Moderate
36,female,160.0,69.3,62.9,fat loss,sedentary,3,7.1,2.1,1227,Low
